nfloor,prop,rot,area,wwr,epoch,wall,roof,floor,energy
6,2.305897,0.324843,569.47414,0.15,2,1,1,1,38.995557
3,2.343671,0.768337,207.965307,0.2,1,1,1,1,69.479334
4,1.176761,2.69719,107.802787,0.2,4,1,1,1,61.387173
2,1.964117,2.900744,56.081443,0.2,1,1,1,1,125.808193
7,1.871713,0.25953,418.085099,0.1,8,1,1,1,28.188875
3,1.04067,1.652545,125.611838,0.3,1,1,1,1,80.186799
2,1.17957,1.677664,169.504977,0.2,2,1,1,1,79.228728
5,1.463181,0.971112,188.419715,0.2,6,1,1,1,41.655627
5,1.408762,2.169818,201.14665,0.2,6,1,1,1,40.607809
2,1.666215,1.270167,952.645934,0.2,1,1,1,1,49.074819
6,1.116428,2.24326,145.82682,0.2,5,1,1,1,51.677155
2,2.139579,0.078265,52.050941,0.2,1,1,1,1,130.46503
2,1.3379,0.479271,91.875645,0.2,1,1,1,1,99.307013
2,1.307671,3.064687,423.542999,0.2,5,1,1,1,52.672718
8,1.010486,1.496584,194.832912,0.3,5,1,1,1,45.590965
7,1.397137,1.576781,166.186593,0.3,7,1,1,1,44.235458
6,1.595685,2.370899,232.140885,0.2,8,1,1,1,37.200078
3,2.491875,0.76489,263.882066,0.2,5,1,1,1,52.817584
3,1.085073,2.752593,140.507972,0.2,3,1,1,1,64.770082
3,1.760795,3.127246,186.415971,0.3,10,1,1,1,53.512371
9,1.288713,1.038709,229.285474,0.3,7,1,1,1,36.88235
5,2.546178,1.572065,381.371547,0.2,5,1,1,1,40.099234
6,1.697509,0.72925,177.866371,0.2,4,1,1,1,46.246268
2,1.144362,0.22712,45.118808,0.2,4,1,1,1,105.276726
3,1.289895,0.160312,41.526606,0.2,3,1,1,1,108.557284
10,1.219099,3.106417,192.563776,0.3,9,1,1,1,39.029579
3,1.201236,3.030311,141.311395,0.2,2,1,1,1,76.32716
3,1.343968,0.404941,249.80093,0.2,1,1,1,1,60.977718
2,1.029476,0.22776,142.577862,0.2,3,1,1,1,73.248016
3,1.550852,3.123096,103.183479,0.2,2,1,1,1,88.276851
3,1.950335,2.769513,101.900071,0.2,2,1,1,1,91.770529
10,3.74097,1.572295,467.199276,0.3,6,1,1,1,33.13521
3,1.554769,0.058053,72.120469,0.2,3,1,1,1,86.695288
2,1.407765,1.301831,68.292862,0.2,3,1,1,1,96.55179
2,1.323625,1.774506,63.225211,0.2,3,1,1,1,99.122893
2,1.067944,1.475673,53.157185,0.2,3,1,1,1,105.179782
2,1.305868,1.662633,62.264006,0.2,3,1,1,1,99.650505
5,1.018938,1.908561,244.670683,0.3,7,1,1,1,40.860149
2,1.249168,0.374553,441.038794,0.2,1,1,1,1,58.639071
2,1.793484,1.321111,101.143842,0.2,1,1,1,1,98.486343
4,2.240462,1.217805,148.351418,0.2,2,1,1,1,75.452912
4,2.238496,1.931505,151.339884,0.2,2,1,1,1,74.778244
3,1.598446,1.631386,433.587182,0.2,1,1,1,1,50.937323
3,2.609978,0.443005,483.588962,0.3,7,1,1,1,43.030167
4,1.752439,2.466635,140.966393,0.2,1,1,1,1,74.962023
2,1.494817,0.047526,75.66151,0.2,3,1,1,1,93.285782
2,1.556668,1.326204,106.063962,0.2,1,1,1,1,95.427876
2,1.126066,1.846304,96.813339,0.2,4,1,1,1,79.104502
3,1.039884,1.979645,160.592237,0.2,1,1,1,1,72.360905
2,1.310169,1.662634,61.87256,0.2,3,1,1,1,99.910125
2,1.996565,3.004613,41.176276,0.2,3,1,1,1,122.19154
4,1.424977,2.43831,127.437857,0.2,2,1,1,1,76.6224
2,1.193237,0.355589,78.039861,0.2,4,1,1,1,85.653655
2,1.296025,0.335494,49.61091,0.2,4,1,1,1,101.983374
2,1.138069,0.275521,54.351864,0.2,4,1,1,1,97.927587
2,2.117399,0.346441,42.807047,0.2,4,1,1,1,113.68254
2,1.093477,0.27819,54.428321,0.2,4,1,1,1,97.787218
2,1.111992,0.275278,53.966997,0.2,4,1,1,1,98.140743
2,1.430426,2.859233,65.992473,0.2,4,1,1,1,91.982661
2,1.110626,2.884663,53.382953,0.2,4,1,1,1,98.554502
2,1.135811,0.281627,54.854062,0.2,4,1,1,1,97.581115
2,1.081874,0.27315,129.318846,0.2,3,1,1,1,75.767406
2,1.104935,0.276062,52.272301,0.2,3,1,1,1,106.04812
3,1.148485,0.216429,75.141416,0.2,3,1,1,1,83.684158
2,1.147551,0.290279,52.948716,0.2,3,1,1,1,105.623201
2,1.231855,1.835599,63.852686,0.2,4,1,1,1,92.325611
2,1.039852,0.281647,50.716889,0.2,4,1,1,1,100.416563
3,1.225624,2.891549,80.339203,0.2,3,1,1,1,81.553852
2,1.255398,0.268917,64.359633,0.2,4,1,1,1,92.163599
2,1.204316,2.873666,80.281832,0.2,3,1,1,1,90.195246
2,1.342271,2.875017,62.714585,0.2,4,1,1,1,93.376818
2,2.2856,0.206695,65.348064,0.2,3,1,1,1,103.894674
2,3.034301,0.136987,54.539627,0.2,3,1,1,1,117.507719
2,1.463971,0.000977,65.49195,0.2,4,1,1,1,92.30607
2,1.097019,0.08263,50.632981,0.2,3,1,1,1,107.18751
6,1.639097,2.554187,285.029173,0.3,8,1,1,1,38.010041
3,2.213287,2.578691,314.057915,0.2,3,1,1,1,51.282997
4,1.869923,2.540909,83.136814,0.2,4,1,1,1,71.179097
4,1.321894,0.755889,140.502206,0.2,3,1,1,1,60.372443
7,1.362907,1.033079,199.704559,0.2,4,1,1,1,42.263119
7,1.370319,1.222061,170.936503,0.3,9,1,1,1,43.542084
7,1.412358,1.916046,219.380668,0.3,9,1,1,1,39.901167
7,1.129239,0.597593,253.533122,0.3,9,1,1,1,37.319348
7,1.735391,0.987463,255.836136,0.3,9,1,1,1,38.496395
5,1.091378,2.558347,167.607851,0.3,9,1,1,1,46.232429
3,2.259188,0.988787,314.269473,0.2,5,1,1,1,49.871239
2,1.019939,2.147341,142.315947,0.2,6,1,1,1,62.989827
4,2.255793,2.150156,315.68526,0.2,5,1,1,1,45.006577
4,1.321324,0.968167,109.160271,0.2,3,1,1,1,67.670688
4,1.711706,0.58101,125.771931,0.2,3,1,1,1,64.45757
3,1.228617,2.144995,123.103819,0.2,3,1,1,1,68.430592
3,1.268638,2.136919,119.616372,0.2,3,1,1,1,69.340207
6,1.498907,0.558869,183.366947,0.2,3,1,1,1,49.795042
4,1.453073,0.585221,87.052382,0.2,3,1,1,1,74.710653
3,1.9579,0.591437,91.726577,0.2,2,1,1,1,94.976604
5,1.307923,1.469012,145.031544,0.2,3,1,1,1,57.148436
7,1.637035,2.457338,284.817598,0.3,8,1,1,1,36.70596
2,1.100237,2.175805,138.659523,0.2,6,1,1,1,63.563774
5,1.083557,2.154036,166.38851,0.3,8,1,1,1,46.652985
4,1.188123,2.154051,182.461724,0.3,8,1,1,1,48.08776
3,1.123174,0.550687,169.646856,0.2,3,1,1,1,60.019204
4,1.128881,2.163035,164.67374,0.2,3,1,1,1,56.320554
3,1.09035,0.563199,69.241932,0.2,3,1,1,1,86.250017
3,2.281023,2.110268,96.984693,0.2,5,1,1,1,77.096756
3,2.354285,1.892901,93.335806,0.2,5,1,1,1,78.98549
3,1.456303,3.051501,142.563106,0.2,4,1,1,1,60.474351
3,2.397533,2.13416,92.298113,0.2,5,1,1,1,79.340565
3,2.322538,2.220457,94.771868,0.2,5,1,1,1,77.93182
4,2.26198,0.94866,94.510283,0.2,4,1,1,1,69.517316
3,2.296781,0.89144,94.06626,0.2,4,1,1,1,74.665975
4,2.272017,0.935446,94.825223,0.2,4,1,1,1,69.44951
3,2.368861,1.083569,94.406807,0.2,5,1,1,1,78.528404
3,2.345432,2.219842,95.399217,0.2,4,1,1,1,74.532033
3,2.374719,2.203069,95.524207,0.2,4,1,1,1,74.671937
2,1.020567,2.714729,75.774674,0.2,4,1,1,1,86.312745
3,1.013756,3.040318,139.596767,0.2,4,1,1,1,60.197875
3,1.434382,0.090092,146.069612,0.2,4,1,1,1,59.860069
2,1.21187,1.173897,136.779331,0.2,3,1,1,1,74.474096
3,2.423662,0.317025,91.259173,0.2,5,1,1,1,80.465545
3,2.357321,2.826062,93.89787,0.2,5,1,1,1,79.1174
2,1.95942,1.058883,69.179178,0.2,3,1,1,1,99.658039
2,1.680587,2.222988,66.445332,0.2,3,1,1,1,99.523386
2,1.918903,1.043244,72.26666,0.2,3,1,1,1,97.737425
2,2.362825,2.539671,35.887266,0.2,3,1,1,1,132.133086
2,1.554638,0.601922,67.600974,0.2,3,1,1,1,97.206675
2,1.380085,0.736183,64.640806,0.2,3,1,1,1,98.283862
2,1.829885,0.493822,88.671732,0.2,3,1,1,1,88.89662
2,1.715568,2.514033,28.416146,0.2,3,1,1,1,139.479353
2,1.017911,2.479036,60.938138,0.2,3,1,1,1,99.746432
2,1.039861,2.140087,53.91438,0.2,3,1,1,1,104.571076
2,1.619158,0.349893,32.37683,0.2,3,1,1,1,130.480874
2,1.058567,2.140087,53.028215,0.2,3,1,1,1,105.28436
2,1.046154,2.036039,55.012658,0.2,3,1,1,1,103.60975
2,1.045511,2.036157,55.652493,0.2,3,1,1,1,103.139417
2,1.306437,1.180145,62.769424,0.2,3,1,1,1,99.279696
2,1.2578,1.286242,61.545461,0.2,3,1,1,1,99.776047
2,1.645056,2.002048,129.816612,0.2,3,1,1,1,77.366932
2,1.327164,1.953322,63.043564,0.2,3,1,1,1,99.206055
2,1.060185,0.910056,106.403589,0.2,3,1,1,1,81.044076
2,1.18132,0.556718,51.767475,0.3,4,1,1,1,102.863796
2,1.180784,0.806308,93.096142,0.2,3,1,1,1,85.392409
2,5.253825,2.647771,30.417941,0.2,3,1,1,1,172.265735
3,2.347263,0.72217,96.098679,0.2,4,1,1,1,74.055948
2,2.169174,2.080808,35.042885,0.2,3,1,1,1,133.128472
3,2.311514,1.084491,97.008517,0.2,5,1,1,1,77.322507
2,1.222142,3.02947,45.558419,0.2,2,1,1,1,130.342268
4,2.373209,0.552796,94.577876,0.2,4,1,1,1,69.590569
7,1.350747,2.286293,193.36684,0.2,4,1,1,1,42.588167
3,2.266323,0.892903,93.864152,0.2,4,1,1,1,74.580587
2,1.348162,0.915658,62.070392,0.2,3,1,1,1,100.204658
7,1.340757,0.860369,190.564935,0.2,4,1,1,1,42.841796
7,1.312237,0.865006,198.440529,0.2,4,1,1,1,42.071478
3,2.373335,2.980545,93.570976,0.2,5,1,1,1,78.644914
7,1.32169,2.287362,194.470444,0.2,4,1,1,1,42.438712
2,1.196698,1.119996,63.655624,0.2,3,1,1,1,98.333207
7,1.33729,0.857859,189.746687,0.2,4,1,1,1,42.913875
3,1.22474,1.259666,119.977164,0.2,2,1,1,1,81.770657
5,1.117735,1.021441,288.426751,0.2,5,1,1,1,40.845088
3,2.31305,2.05557,96.69045,0.2,5,1,1,1,77.440701
3,1.029764,2.780265,97.433862,0.2,2,1,1,1,88.916163
3,2.351544,2.106535,93.517068,0.2,5,1,1,1,78.682641
7,1.358402,2.28277,192.24721,0.2,4,1,1,1,42.711889
3,2.365282,2.130417,93.391726,0.2,5,1,1,1,78.774578
2,1.103075,2.783798,82.878077,0.2,2,1,1,1,103.126381
4,1.795048,2.836748,428.791788,0.3,7,1,1,1,38.381677
3,2.350402,2.117864,93.181708,0.2,5,1,1,1,78.775794
3,2.346074,2.987965,91.959858,0.2,5,1,1,1,79.091246
2,1.292779,2.205812,76.09192,0.2,1,1,1,1,107.160448
2,2.246777,1.175484,90.82314,0.2,1,1,1,1,105.697607
2,1.182542,2.706999,97.352033,0.2,2,1,1,1,97.277651
2,1.031805,2.522965,120.112488,0.2,1,1,1,1,89.681737
4,1.470531,1.159933,183.178481,0.2,1,1,1,1,65.293795
2,2.670932,1.956565,239.530971,0.2,2,1,1,1,75.972051
2,1.386647,1.081483,177.221875,0.2,1,1,1,1,78.578891
3,1.603365,2.749089,76.42726,0.2,1,1,1,1,101.266368
3,2.356399,2.806339,51.551948,0.2,1,1,1,1,127.163041
3,1.3065,1.898379,101.518278,0.2,1,1,1,1,87.963237
3,1.156032,1.187646,153.372034,0.2,1,1,1,1,73.822645
3,1.194951,1.90605,151.67096,0.2,1,1,1,1,74.212876
2,1.081558,0.346811,80.719841,0.2,1,1,1,1,104.121842
2,2.217806,1.992023,102.044334,0.2,1,1,1,1,100.836673
2,1.833182,1.981682,60.187597,0.2,1,1,1,1,120.974223
4,1.045119,2.735264,81.133701,0.2,1,1,1,1,92.143362
2,1.269194,1.049958,157.845808,0.2,1,1,1,1,81.516647
3,2.424998,2.132835,91.537526,0.2,5,1,1,1,79.78207
3,2.369166,2.217141,94.876385,0.2,5,1,1,1,78.153257
2,1.165102,1.868078,59.039487,0.2,2,1,1,1,117.752434
2,2.563865,2.974078,119.106939,0.2,4,1,1,1,78.865822
6,1.86164,0.781231,172.726948,0.3,8,1,1,1,45.23855
6,1.876055,2.358937,172.694184,0.3,8,1,1,1,45.277944
6,1.090147,2.635326,282.55207,0.2,6,1,1,1,34.332036
3,2.397042,2.2116,97.076336,0.2,5,1,1,1,77.565899
5,1.109422,2.119534,283.039031,0.2,5,1,1,1,41.119289
2,1.292754,1.25266,64.446652,0.2,2,1,1,1,114.244591
4,1.800196,2.838654,408.946043,0.3,7,1,1,1,38.827082
3,2.370411,2.512342,95.407976,0.2,5,1,1,1,77.605588
6,1.869139,2.356774,173.099311,0.3,8,1,1,1,45.222608
3,2.332174,2.130836,94.84128,0.2,5,1,1,1,78.08029
3,2.374679,2.130319,93.079977,0.2,4,1,1,1,75.572838
3,2.260266,1.029356,94.931644,0.2,5,1,1,1,77.679204
3,2.333784,1.093702,95.95583,0.2,5,1,1,1,77.81035
3,2.322949,2.12106,95.651859,0.2,5,1,1,1,77.763604
5,2.848944,1.017405,289.425595,0.2,5,1,1,1,44.773379
4,1.768702,2.834949,423.619797,0.3,7,1,1,1,38.45261
4,1.377517,0.550804,71.303555,0.2,2,1,1,1,98.231927
4,1.491389,2.574767,69.411316,0.2,3,1,1,1,82.888168
